,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
50,4,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
51,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,5,5,5,4,5,5,4,3,4
52,4,4,5,4,5,5,5,4,4,5,4,5,5,4,5,4,5,4,5,5,5,5,5,5,4,4,5,5,4,4
53,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4
54,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,4,5,4,5
55,5,5,4,4,4,5,4,5,4,5,5,5,4,5,5,4,4,5,5,5,5,5,4,5,5,5,5,4,4,4
56,4,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,4,4,5,4,5,5
57,5,4,4,4,3,5,5,4,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5
58,5,5,5,5,4,4,4,5,5,4,5,5,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4
59,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,4,4,4,5,5,5,5,4,5,4
